symbol	ensembl
VDR	ENSG00000111424
MAGEA2	ENSG00000268606
NR2C2	ENSG00000177463
NEUROD1	ENSG00000162992
U2AF1	ENSG00000160201
DYRK1B	
PANX3	ENSG00000154143
ADARB1	ENSG00000197381
ATP1A3	ENSG00000105409
MAPK11	ENSG00000185386
MALT1	ENSG00000172175
NKX2-5	ENSG00000183072
TRPM4	ENSG00000130529
PDGFRA	ENSG00000134853
PASK	ENSG00000115687
NRG2	ENSG00000158458
F7	ENSG00000057593
CHRND	ENSG00000135902
LGALS1	ENSG00000100097
FOXA1	ENSG00000129514
CARD9	ENSG00000187796
MYB	ENSG00000118513
TUBB8B	ENSG00000173213
UQCR10	ENSG00000184076
KCNJ2	ENSG00000123700
BMX	ENSG00000102010
MAP2K1	ENSG00000169032
SV2C	ENSG00000122012
RAPGEF1	ENSG00000107263
FRA2E	
MINK1	ENSG00000141503
CLCN3	ENSG00000109572
PRKDC	ENSG00000253729
TRAC	ENSG00000277734
HLA-H	
PKD2L1	ENSG00000107593
RPL13	ENSG00000167526
CHRNA3	ENSG00000080644
TGFB2	ENSG00000092969
AMT	ENSG00000145020
RPL3	ENSG00000100316
PAPOLA	ENSG00000090060
ALOX5	
MTNR1B	ENSG00000134640
UGT2A1	ENSG00000173610
CEACAM7	
DUSP6	ENSG00000139318
CTSC	ENSG00000109861
ENPP2	ENSG00000136960
HOXA9	ENSG00000078399
C10ORF67	ENSG00000179133
ALDH5A1	ENSG00000112294
P3H3	ENSG00000110811
BIRC3	ENSG00000023445
GK4P	
CDK10	ENSG00000185324
LUM	ENSG00000139329
RPS2	
NTF3	ENSG00000185652
HLA-DRA	
DNER	ENSG00000187957
CYBA	ENSG00000051523
TEAD4	ENSG00000197905
VKORC1	ENSG00000167397
EOMES	ENSG00000163508
TUBB6	ENSG00000176014
ITPA	ENSG00000125877
THBS2	ENSG00000186340
PHETA2	ENSG00000177096
GSR	ENSG00000104687
FHIT	ENSG00000189283
GALP	ENSG00000197487
KCNC2	ENSG00000166006
OPRD1	ENSG00000116329
KCNMA1	ENSG00000156113
ADCY6	ENSG00000174233
GAPDHP60	
RACGAP1	ENSG00000161800
VDAC3	ENSG00000078668
CA10	ENSG00000154975
RUNX3	ENSG00000020633
GPR61	ENSG00000156097
POLD1	ENSG00000062822
CSN2	ENSG00000135222
TK1	ENSG00000167900
NR0B1	ENSG00000169297
GUSB	ENSG00000169919
SLC9A8	ENSG00000197818
ARSL	ENSG00000157399
TSPO	ENSG00000100300
ATP4A	ENSG00000105675
ERVT5	
RPA1	ENSG00000132383
RNPEPL1	ENSG00000142327
BIRC2	ENSG00000110330
FRA2D	
LINC00473	
TUBB4A	ENSG00000104833
SP1	ENSG00000185591
GLUD1P3	
EGF	ENSG00000138798
IPO7	ENSG00000205339
CAPN1	ENSG00000014216
HPGDS	ENSG00000163106
GTF2F2P1	
IL21R	ENSG00000103522
SPINK5	ENSG00000133710
SIRT5	ENSG00000124523
IVL	ENSG00000163207
ANTP4	
S100A9	ENSG00000163220
AKR7A2	ENSG00000053371
SARDH	ENSG00000123453
FRA1J	
MET	ENSG00000105976
STAT6	ENSG00000166888
VEGFC	ENSG00000150630
PHOX2A	ENSG00000165462
MAP2	ENSG00000078018
HOMER1	ENSG00000152413
CST1	ENSG00000170373
MT3	ENSG00000087250
RPLP1	ENSG00000137818
ARNT	ENSG00000143437
RLN2	ENSG00000107014
STX1B	ENSG00000099365
ARRB2	ENSG00000141480
USP24	ENSG00000162402
NGFR	ENSG00000064300
FRA1L	
P2RY12	ENSG00000169313
SLC34A2	ENSG00000157765
ERCC6	ENSG00000225830
STAT3	ENSG00000168610
AMD1	ENSG00000123505
ACTG1P7	
ATP5PO	ENSG00000241837
DCPS	ENSG00000110063
INS	ENSG00000254647
DPP6	ENSG00000130226
UGT2B15	
KRT20	
MTHFD1	ENSG00000100714
RHO	ENSG00000163914
PMM2	ENSG00000140650
RRP7A	ENSG00000189306
UNC119	ENSG00000109103
PRKCA	ENSG00000154229
GPR18	ENSG00000125245
SDK1	ENSG00000146555
BRD7	ENSG00000166164
GBX1	ENSG00000164900
NFKB2	ENSG00000077150
GPT	ENSG00000167701
SLC6A4	ENSG00000108576
CYP2B6	ENSG00000197408
DUSP3	ENSG00000108861
CSF2RB	ENSG00000100368
GGTA1	ENSG00000204136
MERTK	ENSG00000153208
CRYBB2P1	ENSG00000100058
NPY5R	ENSG00000164129
UGT1A8	ENSG00000242366
GRM1	ENSG00000152822
PGAP6	ENSG00000129925
MDH2	ENSG00000146701
NFE2L2	ENSG00000116044
EEF2K	
ANKK1	ENSG00000170209
ATP5PF	ENSG00000154723
CRKL	ENSG00000099942
FPR3	ENSG00000187474
YY1	ENSG00000100811
MBP	ENSG00000197971
FIP1L1	ENSG00000145216
SPTLC3	ENSG00000172296
APOC1	ENSG00000130208
SLCO2A1	ENSG00000174640
POLA1	ENSG00000101868
GMFB	ENSG00000197045
SEPTIN7	ENSG00000122545
CYP24A1	ENSG00000019186
TNFAIP3	ENSG00000118503
SCN3A	ENSG00000153253
METAP2	ENSG00000111142
AURKC	ENSG00000105146
GDF2	ENSG00000263761
GTF2A1	ENSG00000165417
ERN1	ENSG00000178607
TNFSF4	ENSG00000117586
CLCA1	ENSG00000016490
C6ORF15	
CTTN	
SERPINB3	ENSG00000057149
DPT	ENSG00000143196
IPO8	ENSG00000133704
CACNA2D3	ENSG00000157445
CTAA2	
ELAVL3	ENSG00000196361
ARHGDIA	ENSG00000141522
SLC1A5	ENSG00000105281
CTSF	ENSG00000174080
MAGEA4	ENSG00000147381
GPR35	ENSG00000178623
NAAA	ENSG00000138744
DMPK	ENSG00000104936
MT1F	ENSG00000198417
CD37	ENSG00000104894
TPBG	
ADGRG7	ENSG00000144820
SMARCA2	ENSG00000080503
IL17RA	ENSG00000177663
SLC7A5	ENSG00000103257
PLTP	ENSG00000100979
GPR27	ENSG00000170837
FCGR1CP	ENSG00000265531
MMP2	ENSG00000087245
FMO2	ENSG00000094963
ABCB1	ENSG00000085563
HRH4	ENSG00000134489
ARSA	ENSG00000100299
ABCB11	
HMGB1	ENSG00000189403
TPT1	ENSG00000133112
TGFBR3	ENSG00000069702
ESYT2	ENSG00000117868
SLC38A1	ENSG00000111371
PYGM	ENSG00000068976
CPS1	ENSG00000021826
CD6	ENSG00000013725
POLK	ENSG00000122008
FRA3C	
GRIN3A	ENSG00000198785
GJB1	ENSG00000169562
CCL2	ENSG00000108691
PDE6G	ENSG00000185527
TNFRSF13C	ENSG00000159958
ACKR4	ENSG00000129048
RAPGEF5	ENSG00000136237
TESK2	ENSG00000070759
EEF1B2	
GPR17	ENSG00000144230
PPP3CB	ENSG00000107758
PCSK9	ENSG00000169174
ATP3	
ABCB5	ENSG00000004846
ENUR2	
IFNL4	
ABCA3	ENSG00000167972
CKM	ENSG00000104879
LRRC15	ENSG00000172061
ATN1	ENSG00000111676
PROX1	ENSG00000117707
LAMB4	ENSG00000091128
POU2F2	ENSG00000028277
APOC1P1	ENSG00000291128
C4BPB	ENSG00000123843
GRIN1	ENSG00000176884
ALDH1L1	ENSG00000144908
MIR4278	ENSG00000283420
GLUD1P5	
SRGN	ENSG00000122862
ABCA5	ENSG00000154265
SPRY2	ENSG00000136158
PRMT5	ENSG00000100462
METAP1D	
PRKX	ENSG00000183943
PPP1CB	ENSG00000213639
MBNL1	ENSG00000152601
FOXG1	ENSG00000176165
TFR2	ENSG00000106327
MAPK4	
CLDN11	ENSG00000013297
BTK	ENSG00000010671
RUNX2	ENSG00000124813
SLC9A1	ENSG00000090020
SH2B1	ENSG00000178188
CD1A	ENSG00000158477
GYS1	ENSG00000104812
PRKAR2B	ENSG00000005249
COIL	ENSG00000121058
TFPI	ENSG00000003436
DRD5P1	
FRDA2	
ABCA4	ENSG00000198691
GRID1	ENSG00000182771
CAMK2G	ENSG00000148660
ALK	ENSG00000171094
UMOD	ENSG00000169344
NBN	ENSG00000104320
MAPKAP1	ENSG00000119487
SLC5A7	ENSG00000115665
ALAS2	ENSG00000158578
ITGA4	ENSG00000115232
PIKFYVE	ENSG00000115020
FRA1C	
BVR1	
KDM4D	ENSG00000186280
CD58	ENSG00000116815
SUPT16H	ENSG00000092201
THRSP	ENSG00000151365
GPX3	ENSG00000211445
MGLL	ENSG00000074416
CCL25	ENSG00000131142
ADRA2C	ENSG00000184160
GJB5	ENSG00000189280
TFF3	ENSG00000160180
SLC6A9	ENSG00000196517
CYP2C8	ENSG00000138115
EREG	ENSG00000124882
TNFRSF11A	ENSG00000141655
CYP1A2	ENSG00000140505
KMT2D	ENSG00000167548
SULT1C4	ENSG00000198075
SLC9A9	ENSG00000181804
NDUFV2	ENSG00000178127
EIF4EP1	
AOC1	ENSG00000002726
LARS1	ENSG00000133706
AQP2	ENSG00000167580
IL20	ENSG00000162891
SEMA3C	ENSG00000075223
AP2M1	ENSG00000161203
FCAR	
PAK4	ENSG00000130669
SIRT2	
TMEM131L	ENSG00000121210
FOXC2	ENSG00000176692
FRA7G	
REG1A	ENSG00000115386
DUT	ENSG00000128951
GP1BA	ENSG00000185245
HDAC9	ENSG00000048052
PDGFC	ENSG00000145431
TEC	ENSG00000135605
CRHR1	
FRA1E	
KCNJ11	ENSG00000187486
NOP2	ENSG00000111641
JAK1	ENSG00000162434
KDM4A	ENSG00000066135
KIR3DL2	
FGF3	ENSG00000186895
INPP1	ENSG00000151689
AK1	ENSG00000106992
FCGR1BP	ENSG00000291135
ZDHHC7	ENSG00000153786
PLA2G5	ENSG00000127472
GAK	ENSG00000178950
GSPT1	ENSG00000103342
ETFB	ENSG00000105379
H1-5	ENSG00000184357
USP5	ENSG00000111667
MMADHC	ENSG00000168288
NR1H4	ENSG00000012504
GADD45AP1	
CCA1	
MIEF2	
IRAK1	ENSG00000184216
PRLHR	ENSG00000119973
RAC1	ENSG00000136238
EFNB2	ENSG00000125266
RBMXP1	
PLAGL1	ENSG00000118495
OTC	ENSG00000036473
STX4	ENSG00000103496
WNT5B	ENSG00000111186
FGR	ENSG00000000938
ADAM3A	ENSG00000197475
STK4	ENSG00000101109
TDO2	
FKBP5	ENSG00000096060
TSSK1B	ENSG00000212122
IL18RAP	ENSG00000115607
CSHL1	ENSG00000204414
ACTG1	
THPO	ENSG00000090534
F13A1	ENSG00000124491
AKR1C1	ENSG00000187134
IFNGR2	
SLC23A2	ENSG00000089057
MAPT	
SELL	ENSG00000188404
PRB2	ENSG00000121335
COL9A1	ENSG00000112280
HSF1	
TPSD1	ENSG00000095917
RPL39	ENSG00000198918
PDE7B	ENSG00000171408
NT5C2	ENSG00000076685
NDUFA10	ENSG00000130414
PRKCB	ENSG00000166501
ZNF697	ENSG00000143067
EFR3A	ENSG00000132294
RFC1	ENSG00000035928
HOXA4	ENSG00000197576
SLCO2B1	ENSG00000137491
HOXA6	ENSG00000106006
NPEPL1	ENSG00000215440
TOMM40	ENSG00000130204
F9	ENSG00000101981
RNF112	ENSG00000128482
CSRP2P1	
SPTSSB	ENSG00000196542
AURKA	ENSG00000087586
IRF6	ENSG00000117595
COMP	ENSG00000105664
PCLAF	ENSG00000166803
SIRT7	ENSG00000187531
PDE6A	ENSG00000132915
BACE2	ENSG00000182240
PML	ENSG00000140464
BDH1	
GNG5P1	
MCHR2	ENSG00000152034
DHX9	ENSG00000135829
PGM1	ENSG00000079739
PAX2	ENSG00000075891
CD9	ENSG00000010278
CD40LG	ENSG00000102245
PSMB8	
FZD8	ENSG00000177283
CRYGGP	ENSG00000223710
OXT	ENSG00000101405
CHAT	ENSG00000070748
SLCO1B3	ENSG00000111700
KISS1	ENSG00000170498
E2F1	ENSG00000101412
KIR2DS1	
CD4	ENSG00000010610
SLC7A11	ENSG00000151012
KIRREL2	ENSG00000126259
NDUFB8	ENSG00000166136
H4C16	ENSG00000197837
PRKAB2	ENSG00000131791
HTR6	ENSG00000158748
GRIK3	ENSG00000163873
TET2	ENSG00000168769
IFIT1	ENSG00000185745
SRP19	ENSG00000153037
CSNK1E	ENSG00000213923
KCNJ5	ENSG00000120457
BSG	ENSG00000172270
CRYZP1	
CSNK1G1	ENSG00000169118
PIN1	ENSG00000127445
IRS1	ENSG00000169047
FBXL19	ENSG00000099364
GJA8	ENSG00000121634
GDI2	ENSG00000057608
TMPRSS15	ENSG00000154646
TARDBP	ENSG00000120948
HTR1A	ENSG00000178394
FNTA	ENSG00000168522
ATP7B	ENSG00000123191
NF2	ENSG00000186575
THSD7B	ENSG00000144229
COL16A1	ENSG00000084636
SLAMF1	ENSG00000117090
FZD2	ENSG00000180340
FAS	ENSG00000026103
NR4A1	ENSG00000123358
GSTO1	ENSG00000148834
RPS7	ENSG00000171863
HOXC5	ENSG00000172789
NOS2	ENSG00000007171
FRA7E	
MMP1	ENSG00000196611
PSORS1C2	
SERPINA5	ENSG00000188488
PBK	55872
EGLN2	ENSG00000269858
MAOB	ENSG00000069535
NDUFA1	ENSG00000125356
ATP1B1	ENSG00000143153
KIF6	ENSG00000164627
MYLK4	ENSG00000145949
ARID5B	ENSG00000150347
LILRB5	
PAPPA2	ENSG00000116183
STAR	ENSG00000147465
DLD	ENSG00000091140
MAP3K19	ENSG00000176601
RAD51	ENSG00000051180
S1PR4	ENSG00000125910
LAMP1	ENSG00000185896
TRPV5	
CASP3	ENSG00000164305
PGLYRP4	ENSG00000163218
NDUFA8	ENSG00000119421
NDUFS6	ENSG00000145494
IGFBP5	ENSG00000115461
CLCN4	ENSG00000073464
NR1I3	ENSG00000143257
HTR2A	ENSG00000102468
CDH5	ENSG00000179776
HMGCR	ENSG00000113161
ATP6V0A1	ENSG00000033627
ARHGAP12	ENSG00000165322
F3	ENSG00000117525
ENUR1	
PSMD13	ENSG00000185627
BTF3P1	
IRAK4	ENSG00000198001
HMOX2	
KLC3	ENSG00000104892
HSPA1B	
FGFR2	ENSG00000066468
E2F4	ENSG00000205250
MSH3	ENSG00000113318
CSNK2A3	ENSG00000254598
MAGEA3	
GARS1	ENSG00000106105
ESA4	
TNNI2	
FAT1	ENSG00000083857
HTR3D	ENSG00000186090
CD24P1	
PCYT1A	ENSG00000161217
MECP2	ENSG00000169057
PC	ENSG00000173599
IL9R	
FXYD2	ENSG00000137731
HTR1B	ENSG00000135312
TYMP	ENSG00000025708
TLR4	ENSG00000136869
GABRA2	ENSG00000151834
OGA	ENSG00000198408
RIPK1	ENSG00000137275
AAK1	ENSG00000115977
XPNPEP1	ENSG00000108039
LRP1B	ENSG00000168702
KLK4	ENSG00000167749
CXCL13	ENSG00000156234
PADI3	
SLC16A7	ENSG00000118596
CHI3L1	ENSG00000133048
HCN1	ENSG00000164588
NCAN	ENSG00000130287
ALOX15	ENSG00000161905
TXNRD2	ENSG00000184470
PDE1A	ENSG00000115252
FZD1	ENSG00000157240
HLA-DRB6	ENSG00000290878
HIP1	ENSG00000127946
STK38L	ENSG00000211455
GSTM5	ENSG00000134201
MAP3K8	ENSG00000107968
CDK11B	ENSG00000248333
RPS17	
TSPAN5	ENSG00000168785
PTK7	ENSG00000112655
IL13	ENSG00000169194
DPP7	ENSG00000176978
GPX2	ENSG00000176153
EPHA7	ENSG00000135333
LGMN	ENSG00000100600
AQP6	ENSG00000086159
RPS18	
PDCD1	
IL31RA	ENSG00000164509
UST	ENSG00000111962
CACNA2D1	ENSG00000153956
CSF2RA	
MYH6	ENSG00000197616
ENPP3	ENSG00000154269
BMAL1	ENSG00000133794
CD38	ENSG00000004468
HLA-C	
NFKBIA	ENSG00000100906
VCP	ENSG00000165280
OPN1LW	ENSG00000102076
GPLD1	ENSG00000112293
ALDOB	ENSG00000136872
USP1	ENSG00000162607
BAK1	ENSG00000030110
GUCA1A	ENSG00000048545
NUP50	ENSG00000093000
FRA7F	
TNFAIP1	ENSG00000109079
SLCO1C1	ENSG00000139155
RPS21	ENSG00000171858
RPL7	ENSG00000147604
NDUFAF1	ENSG00000137806
PADI2	
FOSL1	ENSG00000175592
CERKL	ENSG00000188452
AIFM2	ENSG00000042286
SOD1	ENSG00000142168
EPS8	ENSG00000151491
REG3A	ENSG00000172016
MBD4	ENSG00000129071
CPN2	ENSG00000178772
CLU	ENSG00000120885
MUSK	ENSG00000030304
MCHR1	ENSG00000128285
AQP5	ENSG00000161798
PLK3	ENSG00000173846
HLA-DPB2	
CST4	ENSG00000101441
GRN	ENSG00000030582
CHRNB1	
PSME1	
THRB	ENSG00000151090
ROCK2	ENSG00000134318
HSD3B7	ENSG00000099377
GGCX	ENSG00000115486
CYP27B1	ENSG00000111012
DBI	ENSG00000155368
DUSP1	ENSG00000120129
ZFP36L2	ENSG00000152518
KLF5	ENSG00000102554
ERCC3	ENSG00000163161
SOAT2	ENSG00000167780
GGT7	ENSG00000131067
KIR2DL2	
DAPK3	ENSG00000167657
CARM1	ENSG00000142453
CXXC4	ENSG00000168772
BTNL1	
NOTCH2	ENSG00000134250
FAU	ENSG00000149806
CD244	ENSG00000122223
LY6E	
ADCY2	ENSG00000078295
HMBS	ENSG00000256269
PARP3	ENSG00000041880
ACTBP5	
P2RY8	
VPS37A	ENSG00000155975
FKBP4	ENSG00000004478
CYB5A	ENSG00000166347
FH	ENSG00000091483
ZBTB4	
GNA12	ENSG00000146535
UCP2	ENSG00000175567
HAMP	ENSG00000105697
FGF23	ENSG00000118972
CYP2A13	ENSG00000197838
OCRL	ENSG00000122126
CYP2D7BP	
FSHR	ENSG00000170820
FANCD2	ENSG00000144554
PIK3CA	ENSG00000121879
GLG1	ENSG00000090863
CXADR	ENSG00000154639
PLK1	ENSG00000166851
KHK	ENSG00000138030
MAP2K7	ENSG00000076984
TRAF3IP2	ENSG00000056972
RABEP1	ENSG00000029725
POLL	ENSG00000166169
XRCC4	ENSG00000152422
PURA	ENSG00000185129
ICOS	ENSG00000163600
GZMH	ENSG00000100450
RAD54L	ENSG00000085999
CA7	ENSG00000168748
WEE1	ENSG00000166483
PTP4A3	
CAPG	ENSG00000042493
RAMP2	ENSG00000131477
ALDH1A1	ENSG00000165092
CYP51A1	ENSG00000001630
PPP2CA	ENSG00000113575
TLR6	ENSG00000174130
IKZF3	ENSG00000161405
LGALS2	ENSG00000100079
SLC15A1	ENSG00000088386
CNTN1	ENSG00000018236
EIF5A	
TDP1	ENSG00000042088
PRRT2	ENSG00000167371
DSG1	ENSG00000134760
CCR2	ENSG00000121807
CHL1	ENSG00000134121
GLI3	ENSG00000106571
P2RX7	ENSG00000089041
ADRB3	ENSG00000188778
CD80	ENSG00000121594
FABP2	ENSG00000145384
CACNA1S	ENSG00000081248
DCTN1	ENSG00000204843
COX5B	
DAZ1	ENSG00000188120
PCBD1	ENSG00000166228
SCNN1A	ENSG00000111319
A1BG	ENSG00000121410
FSHMD1B	
DFNB13	
DLST	ENSG00000119689
EPRS1	ENSG00000136628
SLC1A1	ENSG00000106688
ALS3	
ALCAM	ENSG00000170017
CCKAR	ENSG00000163394
BARD1	ENSG00000138376
APC	ENSG00000134982
AMACR	ENSG00000242110
FRA2K	
STK17A	ENSG00000164543
GFRA3	ENSG00000146013
AGTR1	ENSG00000144891
PDGFA	ENSG00000197461
TYR	ENSG00000077498
NEU3	ENSG00000162139
GRK4	ENSG00000125388
CD36	ENSG00000135218
TENM4	ENSG00000149256
RAPGEF3	ENSG00000079337
PIGW	
HLA-DQA1	
GLA	ENSG00000102393
EFNA5	ENSG00000184349
MC2R	ENSG00000185231
PGP	ENSG00000184207
GSS	ENSG00000100983
KCNV1	ENSG00000164794
CTAG1A	ENSG00000268651
APOB	
POLR3A	ENSG00000148606
PHC1	ENSG00000111752
CPB1	ENSG00000153002
MCOLN1	ENSG00000090674
NDUFS7	ENSG00000115286
EEGV1	
NOC3L	ENSG00000173145
BDM	
FFAR2	ENSG00000126262
CARS1	
DNM2	ENSG00000079805
SLC15A2	ENSG00000163406
CNN1	ENSG00000130176
GOLGA1	ENSG00000136935
BRINP3	ENSG00000162670
PYGL	ENSG00000100504
SGK1	ENSG00000118515
ATR	ENSG00000175054
DCK	ENSG00000156136
SCN3B	ENSG00000166257
CD69	ENSG00000110848
FXN	ENSG00000165060
OR4D6	ENSG00000166884
COL5A3	ENSG00000080573
GDA	ENSG00000119125
FCN1	ENSG00000085265
FRA5G	
ASNS	ENSG00000070669
NPC1L1	ENSG00000015520
FRA13A	
CD14	ENSG00000170458
MAPK12	ENSG00000188130
CA4	ENSG00000167434
AMYP1	ENSG00000227408
DMP1	ENSG00000152592
MIR21	ENSG00000284190
PGGT1B	ENSG00000164219
CCN1	ENSG00000142871
PPIB	ENSG00000166794
PSMC5	ENSG00000087191
ATP6V0B	ENSG00000117410
PTGDR	ENSG00000168229
PREX2	ENSG00000046889
HOXA7	ENSG00000122592
ATD	
TMEM97	ENSG00000109084
INTU	ENSG00000164066
ESR1	ENSG00000091831
CTD	
HTT	ENSG00000197386
KCNE2	ENSG00000159197
C1QA	ENSG00000173372
RXFP2	ENSG00000133105
TSG101	ENSG00000074319
RXRG	ENSG00000143171
HDAC5	ENSG00000108840
CSF1	ENSG00000184371
EGR3	ENSG00000179388
EBP	ENSG00000147155
CD96	ENSG00000153283
PRKD2	ENSG00000105287
STN1	ENSG00000107960
MAP2K4	ENSG00000065559
ATF1	ENSG00000123268
PHB2	ENSG00000215021
TUBA1C	ENSG00000167553
CHRNA10	ENSG00000129749
MAP3K10	ENSG00000130758
GLP1R	ENSG00000112164
CEP68	ENSG00000011523
BCL5	
FGF6	ENSG00000111241
CNTN4	ENSG00000144619
WAS	ENSG00000015285
PTPN7	ENSG00000143851
CCND3	ENSG00000112576
FIM1	
CYP19A1	ENSG00000137869
CFB	
PLIN2	ENSG00000147872
PDE6C	ENSG00000095464
GRIN2A	ENSG00000183454
MAP2K2	ENSG00000126934
PREP	ENSG00000085377
OGDH	ENSG00000105953
BCL2A1	ENSG00000140379
MMP8	ENSG00000118113
CMM	
PDF	ENSG00000258429
RFPL4B	ENSG00000251258
MT-CO3	ENSG00000198938
TIE1	ENSG00000066056
BCHEL3	
CTAG2	ENSG00000126890
TBC1D1	ENSG00000065882
ATF5	ENSG00000169136
CCT3	ENSG00000163468
BRD3	ENSG00000169925
NPM1	ENSG00000181163
ADGRB2	ENSG00000121753
PSMD3	ENSG00000108344
SCG5	
DBIP2	
STIM2	ENSG00000109689
DIAPH3	ENSG00000139734
NFKBIL1	
STK33	ENSG00000130413
SLC25A4	ENSG00000151729
TMEFF2	ENSG00000144339
GLE1	ENSG00000119392
P2RY6	ENSG00000171631
FLT4	ENSG00000037280
GNE	ENSG00000159921
GHSR	ENSG00000121853
NT5C1A	ENSG00000116981
MOB3B	ENSG00000120162
ADFN	
GNA13	ENSG00000120063
SVEP1	ENSG00000165124
ATP2B4	ENSG00000058668
RECQL	ENSG00000004700
SLC1A7	ENSG00000162383
DMXL1	ENSG00000172869
MSH5	
PNLIP	ENSG00000175535
CHRM1	ENSG00000168539
NR1D1	ENSG00000126368
CYP2B7P	ENSG00000291083
SLC10A2	ENSG00000125255
IFNA1	ENSG00000197919
PLOD1	ENSG00000083444
HSD11B2	ENSG00000176387
CDC37	ENSG00000105401
PRIM1	ENSG00000198056
IMPDH2	ENSG00000178035
TSHZ2	ENSG00000182463
COX6A1	ENSG00000111775
SLC13A3	ENSG00000158296
CCL4	
HSD3B1	ENSG00000203857
GATA2	ENSG00000179348
WFS1	ENSG00000109501
CYP2A6	ENSG00000255974
FDX1P1	
MGAM	
XYLT2	ENSG00000015532
PARP1	ENSG00000143799
GPR36	
MMP13	ENSG00000137745
PMS2	ENSG00000122512
TAOK3	ENSG00000135090
CD74	ENSG00000019582
SNORD68	
SULT1C3	ENSG00000196228
PVALB	
RPL35	ENSG00000136942
AADAC	ENSG00000114771
BAD	ENSG00000002330
TLE5	ENSG00000104964
ST6GAL1	ENSG00000073849
AQP4	ENSG00000171885
HTR7	ENSG00000148680
LHX2	ENSG00000106689
EPB41	ENSG00000159023
GLC1D	
PSMB5	ENSG00000100804
SRD5A2	ENSG00000277893
NRG1	ENSG00000157168
PRLR	ENSG00000113494
EGFR	ENSG00000146648
AMOT	ENSG00000126016
GDNF	ENSG00000168621
PRDM16	ENSG00000142611
RBFOX3	ENSG00000167281
KDM4E	ENSG00000235268
ETV2	ENSG00000105672
BNIP2	ENSG00000140299
KIF5B	ENSG00000170759
PLAT	ENSG00000104368
ELF2	ENSG00000109381
THRA	ENSG00000126351
BRSK2	
NUMA1	ENSG00000137497
FRA1B	
TCN1	ENSG00000134827
NDUFV3	ENSG00000160194
TAGLN	ENSG00000149591
FRA6F	
PTGER4	ENSG00000171522
PLA2G6	ENSG00000184381
EIF4B	ENSG00000063046
SRC	
ZNF568	ENSG00000198453
MATK	ENSG00000007264
KCNK2	ENSG00000082482
PTCH1	ENSG00000185920
CAMK2A	ENSG00000070808
HEXA	ENSG00000213614
EGR2	ENSG00000122877
RAPGEF4	ENSG00000091428
DFNB5	
CSRP3	ENSG00000129170
ARF1	ENSG00000143761
KMT2C	ENSG00000055609
ABHD6	ENSG00000163686
AK4	ENSG00000162433
ALOX12P1	
LPL	ENSG00000175445
RPS6KB1	ENSG00000108443
RNF130	ENSG00000113269
TENT4A	ENSG00000112941
FNTB	ENSG00000257365
OSM	ENSG00000099985
CMR3A	
RARS1	ENSG00000113643
PDHB	ENSG00000168291
P2RY2	ENSG00000175591
VHL	ENSG00000134086
EDNRB	ENSG00000136160
CLK2	
APBB1IP	ENSG00000077420
MAPKAPK5	ENSG00000089022
HINT1	ENSG00000169567
MT-CO1	ENSG00000198804
GBX2	ENSG00000168505
DOCK8	ENSG00000107099
PTH2R	ENSG00000144407
TNFRSF25	ENSG00000215788
RAD50	ENSG00000113522
CHUK	ENSG00000213341
PPP2CB	ENSG00000104695
SLC1A4	ENSG00000115902
TOP2B	ENSG00000077097
ANXA13	ENSG00000104537
ESAT	
NCBP1	ENSG00000136937
SOD2	ENSG00000291237
RET	ENSG00000165731
SULT1A3	ENSG00000261052
CFH	ENSG00000000971
DNTT	ENSG00000107447
FRA8A	
PRDX5	ENSG00000126432
IL5	ENSG00000113525
CDK12	ENSG00000167258
GLI4	ENSG00000250571
PTPN22	ENSG00000134242
GAL	ENSG00000069482
CYP27A1	ENSG00000135929
ABCG2	ENSG00000118777
PKM	ENSG00000067225
EXTL2	ENSG00000162694
AVPR2	ENSG00000126895
ARSC2	
RPS27	ENSG00000177954
KCND3	ENSG00000171385
WBP2NL	ENSG00000183066
UGT2B4	ENSG00000156096
BST2	ENSG00000130303
STAT5A	ENSG00000126561
ACTG1P6	
ADAMTS5	ENSG00000154736
CTLA4	ENSG00000163599
SERPINH1	ENSG00000149257
S100B	ENSG00000160307
ADRA2B	ENSG00000274286
CLK1	ENSG00000013441
TEK	ENSG00000120156
STK32B	ENSG00000152953
H4F3	
PI4KA	ENSG00000241973
HSPG2	ENSG00000142798
DSG3	ENSG00000134757
RNPEP	ENSG00000176393
XPNPEP2	ENSG00000122121
CHPT1	ENSG00000111666
IHH	ENSG00000163501
CSNK1A1	ENSG00000113712
MIF	
CROT	ENSG00000005469
PCYT2	ENSG00000185813
SIRT4	ENSG00000089163
KLRK1	ENSG00000213809
AQP8	ENSG00000103375
COL4A4	ENSG00000081052
FRA1A	
ANGPTL3	ENSG00000132855
PRDX1	ENSG00000117450
PPP1R3B	
AXL	ENSG00000167601
SOAT1	ENSG00000057252
ADORA2A	ENSG00000128271
LAMA5	ENSG00000130702
KRT6A	ENSG00000205420
GAS2	ENSG00000148935
FNZ	
SOST	ENSG00000167941
OR2B11	ENSG00000177535
TNFSF11	ENSG00000120659
AGT	ENSG00000135744
ME3	ENSG00000151376
CNTF	ENSG00000242689
GPR12	ENSG00000132975
MAG	ENSG00000105695
GUCY2D	ENSG00000132518
SCNN1D	ENSG00000162572
UGT1A3	ENSG00000288702
