hgnc_id,symbol,locus_type,seq_region,start,stop
"3233","MEGF8","gene with protein product","19","42325609","42378769"
"3234","MEGF9","gene with protein product","9","120600811","120714470"
"3235","EGFL6","gene with protein product","X","13569601","13633575"
"3236","EGFR","gene with protein product","7","55019017","55211628"
"3238","EGR1","gene with protein product","5","138465479","138469303"
"3239","EGR2","gene with protein product","10","62811996","62819167"
"3240","EGR3","gene with protein product","8","22687659","22693480"
"3241","EGR4","gene with protein product","2","73290929","73293701"
"3242","EHD1","gene with protein product","11","64851642","64888296"
"3243","EHD2","gene with protein product","19","47713422","47743134"
"3244","EHD3","gene with protein product","2","31234152","31269451"
"3245","EHD4","gene with protein product","15","41895933","41972557"
"3246","EHF","gene with protein product","11","34621093","34663288"
"3247","EHHADH","gene with protein product","3","185190624","185281990"
"3249","EIF1","gene with protein product","17","41688885","41692668"
"3250","EIF1AX","gene with protein product","X","20124525","20141838"
"3252","EIF1AY","gene with protein product","Y","20575776","20593154"
"3254","EIF2A","gene with protein product","3","150546678","150586016"
"3255","EIF2AK3","gene with protein product","2","88556741","88691518"
"3257","EIF2B1","gene with protein product","12","123620406","123633766"
"3258","EIF2B2","gene with protein product","14","75002921","75012366"
"3259","EIF2B3","gene with protein product","1","44850522","44986722"
"3260","EIF2B4","gene with protein product","2","27364352","27370338"
"3261","EIF2B5","gene with protein product","3","184135038","184146127"
"3262","AGO1","gene with protein product","1","35869808","35930532"
"3263","AGO2","gene with protein product","8","140520156","140635633"
"3265","EIF2S1","gene with protein product","14","67360328","67386516"
"3266","EIF2S2","gene with protein product","20","34088309","34112243"
"3267","EIF2S3","gene with protein product","X","24054946","24078810"
"3270","EIF3J","gene with protein product","15","44537125","44563029"
"3271","EIF3A","gene with protein product","10","119033670","119080823"
"3272","EIF3I","gene with protein product","1","32221077","32245397"
"3273","EIF3H","gene with protein product","8","116642130","116766925"
"3274","EIF3G","gene with protein product","19","10115014","10119918"
"3275","EIF3F","gene with protein product","11","7970251","8001862"
"3276","EIF3FP1","pseudogene","21","10330732","10331537"
"3277","EIF3E","gene with protein product","8","108162787","108443496"
"3278","EIF3D","gene with protein product","22","36510855","36529184"
"3279","EIF3C","gene with protein product","16","28688558","28735727"
"3280","EIF3B","gene with protein product","7","2354086","2380745"
"3282","EIF4A1","gene with protein product","17","7572824","7579006"
"3283","EIF4A1P1","pseudogene","21","27367014","27367947"
"3284","EIF4A2","gene with protein product","3","186783205","186789897"
"3285","EIF4B","gene with protein product","12","53006282","53042215"
"3287","EIF4E","gene with protein product","4","98879276","98929133"
"3288","EIF4EBP1","gene with protein product","8","38030534","38060365"
"3289","EIF4EBP2","gene with protein product","10","70404145","70428618"
"3290","EIF4EBP3","gene with protein product","5","140547662","140549576"
"3292","EIF4EP1","pseudogene","20","5548840","5549481"
"3293","EIF4E2","gene with protein product","2","232550659","232583644"
"3296","EIF4G1","gene with protein product","3","184314495","184335358"
"3297","EIF4G2","gene with protein product","11","10797050","10808940"
"3298","EIF4G3","gene with protein product","1","20806292","21177285"
"3299","EIF5","gene with protein product","14","103333544","103345025"
"3300","EIF5A","gene with protein product","17","7306999","7312463"
"3301","EIF5A2","gene with protein product","3","170888418","170908644"
"3303","EIF5AP2","pseudogene","17","78157403","78159135"
"3304","EIF5AP3","pseudogene","19","45128569","45129030"
"3308","CELA1","gene with protein product","12","51328442","51346679"
"3309","ELANE","gene with protein product","19","851014","856247"
"3311","SERPINB1","gene with protein product","6","2832332","2841959"
"3312","ELAVL1","gene with protein product","19","7958573","8005659"
"3313","ELAVL2","gene with protein product","9","23690104","23826337"
"3314","ELAVL3","gene with protein product","19","11451326","11481046"
"3315","ELAVL4","gene with protein product","1","50024029","50203772"
"3316","ELF1","gene with protein product","13","40931924","41061440"
"3317","ELF2","gene with protein product","4","139028112","139177218"
"3318","ELF3","gene with protein product","1","202007945","202017183"
"3319","ELF4","gene with protein product","X","130063955","130110716"
"3320","ELF5","gene with protein product","11","34478791","34525193"
"3321","ELK1","gene with protein product","X","47635521","47650604"
"3323","ELK2AP","pseudogene","14","105672308","105673314"
"3324","ELK2BP","pseudogene","14","105546610","105549694"
"3325","ELK3","gene with protein product","12","96194375","96269824"
"3326","ELK4","gene with protein product","1","205597556","205632011"
"3327","ELN","gene with protein product","7","74027789","74069907"
"3330","EML1","gene with protein product","14","99737693","99942060"
"3331","EMD","gene with protein product","X","154379273","154381574"
"3332","MARK2","gene with protein product","11","63838928","63911020"
"3333","EMP1","gene with protein product","12","13196723","13219941"
"3334","EMP2","gene with protein product","16","10528422","10580632"
"3335","EMP3","gene with protein product","19","48321509","48330553"
"3336","ADGRE1","gene with protein product","19","6887566","6940459"
"3337","ADGRE2","gene with protein product","19","14732392","14778560"
"3338","CTTN","gene with protein product","11","70398404","70436584"
"3340","EMX1","gene with protein product","2","72916260","72936071"
"3341","EMX2","gene with protein product","10","117542445","117549546"
"3342","EN1","gene with protein product","2","118842171","118847648"
"3343","EN2","gene with protein product","7","155458129","155464831"
"3344","ENAM","gene with protein product","4","70628744","70646824"
"3345","ENC1","gene with protein product","5","74627406","74641424"
"3346","ENDOG","gene with protein product","9","128818500","128822676"
"3347","EXOG","gene with protein product","3","38496127","38542161"
"3349","ENG","gene with protein product","9","127815013","127854658"
"3350","ENO1","gene with protein product","1","8861000","8879190"
"3352","ENO1P1","pseudogene","1","236483165","236484468"
"3353","ENO2","gene with protein product","12","6913745","6923698"
"3354","ENO3","gene with protein product","17","4948092","4957131"
"3355","ENPEP","gene with protein product","4","110365733","110565285"
"3356","ENPP1","gene with protein product","6","131808016","131895155"
"3357","ENPP2","gene with protein product","8","119557086","119673453"
"3358","ENPP3","gene with protein product","6","131628442","131747418"
"3359","ENPP4","gene with protein product","6","46129989","46146688"
"3360","ENSA","gene with protein product","1","150600851","150629612"
"3363","ENTPD1","gene with protein product","10","95711779","95877266"
"3364","ENTPD2","gene with protein product","9","137048107","137054061"
"3365","ENTPD3","gene with protein product","3","40387184","40428744"
"3367","ENTPD5","gene with protein product","14","73958010","74019399"
"3368","ENTPD6","gene with protein product","20","25195693","25228075"
"3372","EOMES","gene with protein product","3","27715949","27722711"
"3373","EP300","gene with protein product","22","41092592","41180077"
"3374","EPAS1","gene with protein product","2","46293667","46386697"
"3377","EPB41","gene with protein product","1","28887091","29120046"
"3378","EPB41L1","gene with protein product","20","36091504","36232799"
"3379","EPB41L2","gene with protein product","6","130839347","131063322"
"3380","EPB41L3","gene with protein product","18","5392381","5630700"
"3381","EPB42","gene with protein product","15","43197227","43221018"
"3382","DMTN","gene with protein product","8","22048995","22082527"
"3383","STOM","gene with protein product","9","121338987","121370304"
"3385","EPHA1","gene with protein product","7","143390289","143408856"
"3386","EPHA2","gene with protein product","1","16124337","16156069"
"3387","EPHA3","gene with protein product","3","89107621","89482134"
"3388","EPHA4","gene with protein product","2","221418027","221574202"
"3389","EPHA5","gene with protein product","4","65319563","65670495"
"3390","EPHA7","gene with protein product","6","93240020","93419687"
"3391","EPHA8","gene with protein product","1","22563489","22603595"
"3392","EPHB1","gene with protein product","3","134795260","135260467"
"3393","EPHB2","gene with protein product","1","22710839","22921500"
"3394","EPHB3","gene with protein product","3","184561785","184582408"
"3395","EPHB4","gene with protein product","7","100802565","100827523"
"3396","EPHB6","gene with protein product","7","142855061","142871094"
"3401","EPHX1","gene with protein product","1","225810124","225845563"
"3402","EPHX2","gene with protein product","8","27490781","27545564"
"3403","STX2","gene with protein product","12","130789600","130839266"
"3413","EPM2A","gene with protein product","6","145382535","145736023"
"3415","EPO","gene with protein product","7","100720468","100723700"
"3416","EPOR","gene with protein product","19","11377207","11384342"
"3418","EPRS1","gene with protein product","1","219968600","220046530"
"3419","EPS15","gene with protein product","1","51354263","51519266"
"3420","EPS8","gene with protein product","12","15620134","15882329"
"3423","EPX","gene with protein product","17","58192726","58205174"
"3424","ERAL1","gene with protein product","17","28855010","28861061"
"3430","ERBB2","gene with protein product","17","39687914","39730426"
"3431","ERBB3","gene with protein product","12","56076799","56103505"
"3432","ERBB4","gene with protein product","2","211375717","212538841"
"3433","ERCC1","gene with protein product","19","45407334","45478828"
"3434","ERCC2","gene with protein product","19","45349837","45370918"
"3435","ERCC3","gene with protein product","2","127257290","127294166"
"3436","ERCC4","gene with protein product","16","13920138","13952348"
"3437","ERCC5","gene with protein product","13","102845831","102875995"
"3438","ERCC6","gene with protein product","10","49454168","49539538"
"3439","ERCC8","gene with protein product","5","60866454","60945073"
"3442","ERDA1","region","","",""
"3443","EREG","gene with protein product","4","74365145","74388749"
"3444","ERF","gene with protein product","19","42247569","42255128"
"3446","ERG","gene with protein product","21","38380027","38661780"
"3447","ERH","gene with protein product","14","69380128","69398299"
"3449","ERN1","gene with protein product","17","64039080","64130819"
"3454","ERV3-1","gene with protein product","7","64990356","65006743"
"3462","ESA4","unknown","","",""
"3463","ESAT","unknown","","",""
"3464","ESB3","unknown","","",""
"3465","ESD","gene with protein product","13","46771256","46797420"
"3466","ESM1","gene with protein product","5","54977867","55022671"
"3467","ESR1","gene with protein product","6","151656691","152129619"
"3468","ESR2","gene with protein product","14","64084232","64338112"
"3471","ESRRA","gene with protein product","11","64305497","64316743"
"3472","ESRRAP1","pseudogene","13","19560013","19561269"
"3473","ESRRB","gene with protein product","14","76310712","76501837"
"3474","ESRRG","gene with protein product","1","216503246","217137755"
"3477","ETF1","gene with protein product","5","138506095","138543236"
"3478","ETF1P1","pseudogene","6","30031713","30033003"
"3479","ETF1P2","pseudogene","7","151501878","151503463"
"3480","ETF1P3","pseudogene","X","65794345","65795835"
"3481","ETFA","gene with protein product","15","76188555","76311730"
"3482","ETFB","gene with protein product","19","51345169","51366388"
"3483","ETFDH","gene with protein product","4","158671968","158710742"
"3488","ETS1","gene with protein product","11","128458761","128587558"
"3489","ETS2","gene with protein product","21","38805183","38824955"
"3490","ETV1","gene with protein product","7","13891229","13991425"
"3491","ETV2","gene with protein product","19","35641745","35644871"
"3492","ETV3","gene with protein product","1","157121191","157138474"
"3493","ETV4","gene with protein product","17","43527844","43579620"
"3494","ETV5","gene with protein product","3","186046314","186110318"
"3495","ETV6","gene with protein product","12","11649674","11895377"
"3496","MPZL2","gene with protein product","11","118253416","118264536"
"3497","EVC","gene with protein product","4","5711201","5814305"
"3498","MECOM","gene with protein product","3","169083499","169663775"
"3499","EVI2A","gene with protein product","17","31316410","31321749"
"3500","EVI2B","gene with protein product","17","31303770","31314105"
"3501","EVI5","gene with protein product","1","92508696","92792404"
"3503","EVPL","gene with protein product","17","76004502","76027306"
"3506","EVX1","gene with protein product","7","27242700","27250493"
"3507","EVX2","gene with protein product","2","176077472","176083962"
"3508","EWSR1","gene with protein product","22","29268009","29300525"
"3511","EXO1","gene with protein product","1","241847967","241895148"
"3512","EXT1","gene with protein product","8","117794490","118111826"
"3513","EXT2","gene with protein product","11","44095648","44251962"
"3515","EXTL1","gene with protein product","1","26019884","26036464"
"3516","EXTL2","gene with protein product","1","100872372","100895179"
"3517","EXTL2P1","pseudogene","2","175842887","175843302"
"3518","EXTL3","gene with protein product","8","28600469","28755599"
"3519","EYA1","gene with protein product","8","71197433","71592025"
"3520","EYA2","gene with protein product","20","46894624","47188844"
"3521","EYA3","gene with protein product","1","27970344","28088637"
"3522","EYA4","gene with protein product","6","133240514","133532128"
"3526","EZH1","gene with protein product","17","42700275","42745049"
"3527","EZH2","gene with protein product","7","148807257","148884321"
"3528","F10","gene with protein product","13","113122799","113149529"
"3529","F11","gene with protein product","4","186266189","186289681"
"3530","F12","gene with protein product","5","177402141","177409564"
"3531","F13A1","gene with protein product","6","6144084","6321013"
"3534","F13B","gene with protein product","1","197038741","197067260"
"3535","F2","gene with protein product","11","46719196","46739506"
"3537","F2R","gene with protein product","5","76716126","76735770"
"3538","F2RL1","gene with protein product","5","76818933","76835315"
"3539","F2RL2","gene with protein product","5","76615482","76623413"
"3540","F2RL3","gene with protein product","19","16888999","16892606"
"3541","F3","gene with protein product","1","94529173","94541759"
"3542","F5","gene with protein product","1","169511951","169586588"
"3544","F7","gene with protein product","13","113105788","113120685"
"3545","F7R","unknown","","",""
"3546","F8","gene with protein product","X","154835788","155026940"
"3547","F8A1","gene with protein product","X","154886355","154888061"
"3551","F9","gene with protein product","X","139530739","139563459"
"3553","FAAH","gene with protein product","1","46394317","46413848"
"3554","HSD17B8","gene with protein product","6","33204655","33206831"
"3555","FABP1","gene with protein product","2","88122982","88128062"
"3556","FABP2","gene with protein product","4","119317250","119322138"
"3557","FABP3","gene with protein product","1","31365253","31376850"
"3558","FABP3P2","pseudogene","13","42369259","42369657"
"3559","FABP4","gene with protein product","8","81478419","81483236"
"3560","FABP5","gene with protein product","8","81280536","81284777"
"3561","FABP6","gene with protein product","5","160187367","160238735"
"3562","FABP7","gene with protein product","6","122779716","122784074"
"3563","FABP9","gene with protein product","8","81458253","81461579"
"3569","ACSL1","gene with protein product","4","184755595","184826818"
"3570","ACSL3","gene with protein product","2","222860942","222944639"
"3571","ACSL4","gene with protein product","X","109624244","109733403"
"3573","FADD","gene with protein product","11","70203296","70207390"
"3574","FADS1","gene with protein product","11","61799627","61829318"
"3575","FADS2","gene with protein product","11","61792980","61867354"
"3576","FADS3","gene with protein product","11","61873519","61892051"
"3578","FAF1","gene with protein product","1","50437028","50960267"
"3579","FAH","gene with protein product","15","80152490","80186946"
"3581","BPTF","gene with protein product","17","67825503","67984378"
"3582","FANCA","gene with protein product","16","89737549","89816657"
"3583","FANCB","gene with protein product","X","14835961","14873069"
"3584","FANCC","gene with protein product","9","95099054","95426796"
"3585","FANCD2","gene with protein product","3","10026370","10101932"
"3586","FANCE","gene with protein product","6","35452338","35467102"
"3587","FANCF","gene with protein product","11","22622533","22625823"
"3588","FANCG","gene with protein product","9","35073835","35079942"
"3590","FAP","gene with protein product","2","162170684","162245151"
"3591","FARP1","gene with protein product","13","98142562","98455176"
"3592","FARSA","gene with protein product","19","12922479","12934037"
"3594","FASN","gene with protein product","17","82078338","82098294"
"3595","FAT1","gene with protein product","4","186587794","186726722"
"3596","FAT2","gene with protein product","5","151504092","151591331"
"3597","FAU","gene with protein product","11","65120630","65122177"
"3599","FBL","gene with protein product","19","39834458","39846379"
"3600","FBLN1","gene with protein product","22","45502238","45601135"
"3601","FBLN2","gene with protein product","3","13549125","13638422"
"3602","FBLN5","gene with protein product","14","91869411","91947987"
"3603","FBN1","gene with protein product","15","48408313","48645721"
"3604","FBN2","gene with protein product","5","128257909","128659185"
"3606","FBP1","gene with protein product","9","94603133","94640249"
"3607","FBP2","gene with protein product","9","94558720","94593824"
"3608","FCAR","gene with protein product","19","54874235","54891420"
"3609","FCER1A","gene with protein product","1","159289714","159308224"
"3611","FCER1G","gene with protein product","1","161215234","161220699"
"3612","FCER2","gene with protein product","19","7688758","7702146"
"3613","FCGR1A","gene with protein product","1","149782671","149791675"
"3614","FCGR1BP","pseudogene","1","121087345","121097161"
"3615","FCGR1CP","pseudogene","1","143874793","143883575"
"3616","FCGR2A","gene with protein product","1","161505430","161524013"
"3618","FCGR2B","gene with protein product","1","161663143","161678654"
"3619","FCGR3A","gene with protein product","1","161541759","161550737"
"3620","FCGR3B","gene with protein product","1","161623196","161631963"
"3621","FCGRT","gene with protein product","19","49506816","49526428"
"3622","FKTN","gene with protein product","9","105558122","105653820"
"3623","FCN1","gene with protein product","9","134903232","134917912"
"3624","FCN2","gene with protein product","9","134880810","134887523"
"3625","FCN3","gene with protein product","1","27369110","27374824"
"3629","FDFT1","gene with protein product","8","11795573","11839304"
"3631","FDPS","gene with protein product","1","155308748","155320666"
"3632","FDPSP1","pseudogene","1","187563061","187564131"
"3633","FDPSP2","pseudogene","7","76470162","76471058"
"3634","FDPSP3","pseudogene","14","54884849","54886213"
"3635","FDPSP4","pseudogene","15","42939310","42940358"
"3636","FDPSP5","pseudogene","X","44476027","44477422"
"3637","FDPSP6","pseudogene","21","20388334","20388845"
"3638","FDX1","gene with protein product","11","110429948","110464884"
"3640","FDX1P1","pseudogene","20","34475924","34476474"
"3641","FDX1P2","pseudogene","21","25692180","25692554"
"3642","FDXR","gene with protein product","17","74862497","74873031"
"3647","FECH","gene with protein product","18","57544377","57586732"
"3648","FECHP1","pseudogene","3","34872641","34873854"
"3649","FEM1B","gene with protein product","15","68277745","68295862"
"3650","FEN1","gene with protein product","11","61792911","61797238"
"3651","FEN1P1","pseudogene","1","91328369","91329513"
"3655","FER","gene with protein product","5","108747841","109196841"
"3656","MYOF","gene with protein product","10","93306429","93482334"
"3657","FES","gene with protein product","15","90883695","90895776"
"3658","FETUB","gene with protein product","3","186635969","186653141"
"3659","FEZ1","gene with protein product","11","125442881","125592568"
"3660","FEZ2","gene with protein product","2","36531805","36646087"
"3661","FGA","gene with protein product","4","154583128","154590745"
"3662","FGB","gene with protein product","4","154563011","154572807"
"3663","FGD1","gene with protein product","X","54445454","54496234"
"3664","FGD2","gene with protein product","6","37005646","37029069"
"3665","FGF1","gene with protein product","5","142592178","142698070"
"3666","FGF10","gene with protein product","5","44300247","44389706"
"3667","FGF11","gene with protein product","17","7438273","7444937"
"3668","FGF12","gene with protein product","3","192139390","192767764"
"3670","FGF13","gene with protein product","X","138614727","139222777"
"3671","FGF14","gene with protein product","13","101710804","102402457"
"3672","FGF16","gene with protein product","X","77447389","77457278"
"3673","FGF17","gene with protein product","8","22042398","22048809"
"3674","FGF18","gene with protein product","5","171419647","171457626"
"3675","FGF19","gene with protein product","11","69698238","69704022"
"3676","FGF2","gene with protein product","4","122826708","122898236"
"3677","FGF20","gene with protein product","8","16992181","17002345"
"3678","FGF21","gene with protein product","19","48755524","48758333"
"3679","FGF22","gene with protein product","19","639879","644373"
"3680","FGF23","gene with protein product","12","4368227","4379712"
"3681","FGF3","gene with protein product","11","69809968","69819416"
"3682","FGF4","gene with protein product","11","69771022","69775341"
"3683","FGF5","gene with protein product","4","80266639","80336680"
"3684","FGF6","gene with protein product","12","4428155","4445815"
"3685","FGF7","gene with protein product","15","49423237","49488775"
"3686","FGF8","gene with protein product","10","101770109","101780371"
"3687","FGF9","gene with protein product","13","21671073","21704498"
"3688","FGFR1","gene with protein product","8","38400215","38468834"
"3689","FGFR2","gene with protein product","10","121478332","121598458"
"3690","FGFR3","gene with protein product","4","1793293","1808872"
"3691","FGFR4","gene with protein product","5","177086905","177098144"
"3693","FGFRL1","gene with protein product","4","1009936","1026898"
"3694","FGG","gene with protein product","4","154604134","154612967"
"3695","FGL1","gene with protein product","8","17864380","17910365"
"3696","FGL2","gene with protein product","7","77193369","77199848"
"3697","FGR","gene with protein product","1","27612064","27635185"
"3700","FH","gene with protein product","1","241497511","241519799"
"3701","FHIT","gene with protein product","3","59747277","61251459"
"3702","FHL1","gene with protein product","X","136146702","136211359"
"3703","FHL2","gene with protein product","2","105357712","105438513"
"3704","FHL3","gene with protein product","1","37996770","38005606"
"3705","FIBP","gene with protein product","11","65883740","65888531"
"3706","ATP8B1","gene with protein product","18","57646426","57803315"
"3708","VEGFD","gene with protein product","X","15345596","15384413"
"3711","FKBP1A","gene with protein product","20","1368977","1393164"
"3712","FKBP1B","gene with protein product","2","24049701","24063681"
"3714","FKBP1AP1","pseudogene","19","57826461","57826778"
"3715","FKBP1AP2","pseudogene","15","73143236","73143518"
"3716","FKBP1AP3","pseudogene","13","46505118","46505436"
"3717","FKBP1AP4","pseudogene","3","149463779","149464114"
"3718","FKBP2","gene with protein product","11","64241003","64244132"
"3719","FKBP3","gene with protein product","14","45115599","45135319"
"3720","FKBP4","gene with protein product","12","2794970","2805423"
"3721","FKBP5","gene with protein product","6","35573585","35728583"
"3722","FKBP6","gene with protein product","7","73328161","73358637"
"3723","FKBP7","gene with protein product","2","178463664","178478600"
"3724","FKBP8","gene with protein product","19","18531751","18544077"
"3725","FKBP9","gene with protein product","7","32957404","33006930"
"3735","FOXS1","gene with protein product","20","31844303","31845604"
"3748","FLG","gene with protein product","1","152302165","152325239"
"3749","FLI1","gene with protein product","11","128686535","128813267"
"3750","FLII","gene with protein product","17","18244815","18258738"
"3754","FLNA","gene with protein product","X","154348524","154374634"
"3755","FLNB","gene with protein product","3","58008398","58172251"
"3756","FLNC","gene with protein product","7","128830406","128859274"
"3757","FLOT1","gene with protein product","6","30727709","30742732"
"3758","FLOT2","gene with protein product","17","28879335","28897733"
"3760","FLRT1","gene with protein product","11","64035931","64119173"
"3761","FLRT2","gene with protein product","14","85530144","85654428"
"3762","FLRT3","gene with protein product","20","14322985","14337614"
"3763","FLT1","gene with protein product","13","28300346","28495145"
"3765","FLT3","gene with protein product","13","28003274","28100592"
"3766","FLT3LG","gene with protein product","19","49474207","49486231"
"3767","FLT4","gene with protein product","5","180601506","180649624"
"3768","FMN1","gene with protein product","15","32765544","33194714"
"3769","FMO1","gene with protein product","1","171248471","171285978"
"3770","FMO2","gene with protein product","1","171185249","171212686"
"3771","FMO3","gene with protein product","1","171090901","171117819"
"3772","FMO4","gene with protein product","1","171314183","171342084"
"3773","FMO5","gene with protein product","1","147175351","147243050"
"3774","FMOD","gene with protein product","1","203340628","203351758"
"3775","FMR1","gene with protein product","X","147911919","147951125"
"3776","AFF2","gene with protein product","X","148500617","149000663"
"3778","FN1","gene with protein product","2","215360440","215436073"
"3781","ITGB1P1","pseudogene","19","14621634","14622242"
"3782","FNTA","gene with protein product","8","43034194","43085788"
"3783","FNTAP1","pseudogene","11","86195132","86196266"
"3784","FNTAP2","pseudogene","13","21530690","21531323"
"3785","FNTB","gene with protein product","14","64986895","65062652"
"3788","FOLH1","gene with protein product","11","49145092","49208638"
"3791","FOLR1","gene with protein product","11","72189558","72196323"
"3792","FOLR1P1","pseudogene","11","72158822","72159734"
"3793","FOLR2","gene with protein product","11","72216601","72221950"
"3795","FOLR3","gene with protein product","11","72114869","72139892"
"3796","FOS","gene with protein product","14","75278826","75282230"
"3797","FOSB","gene with protein product","19","45467995","45475179"
"3798","FOSL2","gene with protein product","2","28392448","28417317"
"3799","FOXB1","gene with protein product","15","60004234","60061730"
"3800","FOXC1","gene with protein product","6","1609915","1613897"
"3801","FOXC2","gene with protein product","16","86566829","86569728"
"3802","FOXD1","gene with protein product","5","73444827","73448777"
"3803","FOXD2","gene with protein product","1","47438044","47440691"
"3804","FOXD3","gene with protein product","1","63322567","63325128"
"3805","FOXD4","gene with protein product","9","116231","118417"
"3806","FOXE1","gene with protein product","9","97853226","97856717"
"3808","FOXE3","gene with protein product","1","47416285","47418052"
"3809","FOXF1","gene with protein product","16","86510527","86515422"
"3810","FOXF2","gene with protein product","6","1389576","1395603"
"3811","FOXG1","gene with protein product","14","28766787","28770277"
"3814","FOXH1","gene with protein product","8","144473412","144475849"
"3815","FOXI1","gene with protein product","5","170105897","170109734"
"3816","FOXJ1","gene with protein product","17","76136333","76141245"
"3817","FOXL1","gene with protein product","16","86576368","86583478"
"3818","FOXM1","gene with protein product","12","2857680","2877174"
"3819","FOXO1","gene with protein product","13","40555667","40666641"
"3820","FOXO1B","pseudogene","5","181099140","181100666"
"3821","FOXO3","gene with protein product","6","108559835","108684774"
"3822","FOXO3B","gene with protein product","17","18667629","18682314"
"3823","FOXP1","gene with protein product","3","70954693","71583978"
"3824","FPGS","gene with protein product","9","127794597","127814327"
"3825","FPGT","gene with protein product","1","74198238","74234086"
"3826","FPR1","gene with protein product","19","51745172","51804110"
"3827","FPR2","gene with protein product","19","51752026","51770531"
"3828","FPR3","gene with protein product","19","51795157","51826190"
"3829","FRA10A","fragile site","","",""
"3830","FRA10B","fragile site","","",""
"3831","FRA10C","fragile site","","",""
"3832","FRA10D","fragile site","","",""
"3833","FRA10E","fragile site","","",""
"3834","FRA10F","fragile site","","",""
"3835","FRA10G","fragile site","","",""
"3836","FRA11A","fragile site","","",""
"3837","FRA11B","fragile site","","",""
"3838","FRA11C","fragile site","","",""
"3839","FRA11D","fragile site","","",""
"3840","FRA11E","fragile site","","",""
"3841","FRA11F","fragile site","","",""
"3842","FRA11G","fragile site","","",""
"3843","FRA11H","fragile site","","",""
"3844","FRA11I","fragile site","","",""
"3845","FRA12A","fragile site","","",""
"3846","FRA12B","fragile site","","",""
"3847","FRA12C","fragile site","","",""
"3848","FRA12D","fragile site","","",""
"3849","FRA12E","fragile site","","",""
"3850","FRA13A","fragile site","","",""
"3851","FRA13B","fragile site","","",""
"3852","FRA13C","fragile site","","",""
"3853","FRA13D","fragile site","","",""
"3854","FRA14B","fragile site","","",""
"3855","FRA14C","fragile site","","",""
"3856","FRA15A","fragile site","","",""
"3857","FRA16A","fragile site","","",""
"3858","FRA16B","fragile site","","",""
"3859","FRA16C","fragile site","","",""
"3860","FRA16D","fragile site","","",""
"3861","FRA16E","fragile site","","",""
"3862","FRA17A","fragile site","","",""
"3863","FRA17B","fragile site","","",""
"3864","FRA18A","fragile site","","",""
"3865","FRA18B","fragile site","","",""
"3866","FRA19A","fragile site","","",""
"3867","FRA19B","fragile site","","",""
"3868","FRA1A","fragile site","","",""
"3869","FRA1B","fragile site","","",""
"3870","FRA1C","fragile site","","",""
"3871","FRA1D","fragile site","","",""
"3872","FRA1E","fragile site","","",""
"3873","FRA1F","fragile site","","",""
"3874","FRA1G","fragile site","","",""
"3875","FRA1H","fragile site","","",""
"3876","FRA1I","fragile site","","",""
"3877","FRA1J","fragile site","","",""
"3878","FRA1K","fragile site","","",""
"3879","FRA1L","fragile site","","",""
"3880","FRA1M","fragile site","","",""
"3881","FRA20A","fragile site","","",""
"3882","FRA20B","fragile site","","",""
"3883","FRA22A","fragile site","","",""
"3884","FRA22B","fragile site","","",""
"3885","FRA2A","fragile site","","",""
"3886","FRA2B","fragile site","","",""
"3887","FRA2C","fragile site","","",""
"3888","FRA2D","fragile site","","",""
"3889","FRA2E","fragile site","","",""
"3890","FRA2F","fragile site","","",""
"3891","FRA2G","fragile site","","",""
"3892","FRA2H","fragile site","","",""
"3893","FRA2I","fragile site","","",""
"3894","FRA2J","fragile site","","",""
"3895","FRA2K","fragile site","","",""
"3896","FRA3A","fragile site","","",""
"3897","FRA3B","fragile site","","",""
"3898","FRA3C","fragile site","","",""
"3899","FRA3D","fragile site","","",""
"3900","FRA4A","fragile site","","",""
"3901","FRA4B","fragile site","","",""
"3902","FRA4C","fragile site","","",""
"3903","FRA4D","fragile site","","",""
"3905","FRA5A","fragile site","","",""
"3906","FRA5B","fragile site","","",""
"3907","FRA5C","fragile site","","",""
"3908","FRA5D","fragile site","","",""
"3909","FRA5E","fragile site","","",""
"3910","FRA5F","fragile site","","",""
"3911","FRA5G","fragile site","","",""
"3912","FRA6A","fragile site","","",""
"3913","FRA6B","fragile site","","",""
"3914","FRA6C","fragile site","","",""
"3915","FRA6D","fragile site","","",""
"3916","FRA6E","fragile site","","",""
"3917","FRA6F","fragile site","","",""
"3918","FRA6G","fragile site","","",""
"3919","FRA7A","fragile site","","",""
"3920","FRA7B","fragile site","","",""
"3921","FRA7C","fragile site","","",""
"3922","FRA7D","fragile site","","",""
"3923","FRA7E","fragile site","","",""
"3924","FRA7F","fragile site","","",""
"3925","FRA7G","fragile site","","",""
"3926","FRA7H","fragile site","","",""
"3927","FRA7I","fragile site","","",""
"3928","FRA7J","fragile site","","",""
"3929","FRA8A","fragile site","","",""
"3930","FRA8B","fragile site","","",""
"3931","FRA8C","fragile site","","",""
"3932","FRA8D","fragile site","","",""
"3933","FRA8E","fragile site","","",""
"3935","FRA9A","fragile site","","",""
"3936","FRA9B","fragile site","","",""
"3937","FRA9C","fragile site","","",""
"3938","FRA9D","fragile site","","",""
"3939","FRA9E","fragile site","","",""
"3940","FRA9F","fragile site","","",""
"3942","MTOR","gene with protein product","1","11106535","11262551"
"3944","FRAT1","gene with protein product","10","97319271","97321915"
"3945","FRAXA","fragile site","","",""
"3946","FRAXB","fragile site","","",""
